"Table 1.2a: Annual hours when PM10 pollution was moderate or higher, for roadside sites, 1997 to 2018",,,,,,,,,
,,,,,,,,,
Year,Site,4 Moderate,5 Moderate,6 Moderate,7 High,8 High,9 High,10 Very High,Total Hours
2010,Sandy Roadside,57,28,3,0,0,0,0,88
2012,Sandy Roadside,80,20,14,0,0,0,0,114
2016,Sandy Roadside,38,14,13,0,0,0,0,65
2017,Southampton A33,88,21,8,0,0,0,0,117
2011,Southwark A2 Old Kent Road,242,164,105,83,67,25,21,707
2012,Southwark A2 Old Kent Road,229,115,63,42,32,22,0,503
2013,Southwark A2 Old Kent Road,261,163,170,53,20,0,0,667
2016,Southwark A2 Old Kent Road,185,94,69,28,15,30,0,421
2017,Southwark A2 Old Kent Road,164,125,45,11,7,15,11,378
2018,Southwark A2 Old Kent Road,151,57,19,3,0,0,0,230
2017,St Helens Linkway,32,13,11,0,2,0,24,82
2018,St Helens Linkway,12,2,20,0,0,0,0,34
2008,Stanford-le-Hope Roadside,87,24,15,8,9,0,0,143
2009,Stanford-le-Hope Roadside,70,17,14,5,0,0,0,106
2010,Stanford-le-Hope Roadside,72,13,25,0,0,0,0,110
2011,Stanford-le-Hope Roadside,198,87,100,43,10,27,8,473
2012,Stanford-le-Hope Roadside,130,97,92,20,0,0,0,339
2013,Stanford-le-Hope Roadside,201,83,15,7,16,0,0,322
2014,Stanford-le-Hope Roadside,148,32,12,8,8,16,0,224
2016,Stanford-le-Hope Roadside,48,22,28,38,0,0,0,136
2017,Stanford-le-Hope Roadside,101,28,8,12,0,0,0,149
2018,Stanford-le-Hope Roadside,62,0,0,0,0,0,0,62
2009,Stockton-on-Tees Eaglescliffe,67,0,0,0,0,0,0,67
2010,Stockton-on-Tees Eaglescliffe,23,0,0,0,0,0,0,23
2011,Stockton-on-Tees Eaglescliffe,51,25,0,0,0,0,0,76
2012,Stockton-on-Tees Eaglescliffe,37,32,10,0,0,0,0,79
2013,Stockton-on-Tees Eaglescliffe,42,19,44,0,0,0,0,105
2014,Stockton-on-Tees Eaglescliffe,65,27,35,7,0,0,0,134
2015,Stockton-on-Tees Eaglescliffe,75,0,0,0,0,0,0,75
